"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","x"
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-a-suit","Fastest marathon in a suit (male)","2 hr 42 min and 59 sec",2,42,59,"2:42:59","full",9779,0.935417939720991
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-by-a-relay-team","Fastest marathon by a relay team","2 hr 4 min 32 sec",2,4,32,"2:04:32","full",7472,1.01838729787259
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-a-firemans-uniform","Fastest marathon in a firefighter's uniform","3 hr 41 min 10 sec",3,41,10,"3:41:10","full",13270,1.05330243167839
"https://www.guinnessworldrecords.com/world-records/108254-fastest-marathon-in-a-lacrosse-kit","Fastest marathon in a lacrosse kit","3 hr 46 min 58 sec",3,46,58,"3:46:58","full",13618,0.962093943074579
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-wearing-armour","Fastest marathon wearing armour","6 hr 46 min 59 sec",6,46,59,"6:46:59","full",24419,1
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-film-character-costume-(female)-","Fastest marathon in film character costume (female)","3 hrs 16 min 19 sec",3,16,19,"3:16:19","full",11779,1.08599687584299
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-by-a-mascot-(male)","Fastest marathon by a mascot (male)","3 hr 17 min 57 sec",3,17,57,"3:17:57","full",11877,1.00452975679302
"https://www.guinnessworldrecords.com/world-records/112585-fastest-marathon-wearing-lederhosen","Fastest marathon wearing lederhosen","3 hr 4 min 6 sec",3,4,6,"3:04:06","full",11046,1.02479558611558
"https://www.guinnessworldrecords.com/world-records/595048-fastest-marathon-distance-male","Fastest marathon distance (male)","1 hr 59 min 40 sec",1,59,40,"1:59:40","full",7180,1
"https://www.guinnessworldrecords.com/world-records/444829-fastest-marathon-in-a-kung-fu-uniform","Fastest marathon in a Kung Fu uniform","3 hr 42 min 57 sec",3,42,57,"3:42:57","full",13377,0.982819810456131
"https://www.guinnessworldrecords.com/world-records/401107-fastest-marathon-four-legged-male","Fastest marathon four legged (male)","4 hr 44 min 18 sec",4,44,18,"4:44:18","full",17058,1
"https://www.guinnessworldrecords.com/world-records/437099-fastest-marathon-female-masters-35","Fastest marathon (female, masters 35)","2 hr 19 min 19 sec",2,19,19,"2:19:19","full",8359,1
"https://www.guinnessworldrecords.com/world-records/371725-fastest-marathon-in-a-three-person-costume","Fastest marathon in a three person costume","3 hrs 13 min 9 sec",3,13,9,"3:13:09","full",11589,1.06355748914215
"https://www.guinnessworldrecords.com/world-records/448992-fastest-marathon-in-classic-brownie-uniform-female","Fastest marathon in classic brownie uniform (female)","3 hr 26 min 51 sec",3,26,51,"3:26:51","full",12411,0.909498708890447
"https://www.guinnessworldrecords.com/world-records/426444-fastest-marathon-pushing-a-double-pram-female","Fastest marathon pushing a double pram (female)","3 hr 22 min 5 sec",3,22,5,"3:22:05","full",12125,0.956666094822203
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-wearing-chainmail-(upper-body)","Fastest marathon wearing chainmail (upper body)","4 hrs 50 min 16 sec",4,50,16,"4:50:16","full",17416,1.01391895411672
"https://www.guinnessworldrecords.com/world-records/482819-fastest-half-marathon-dressed-as-a-barrister","Fastest half marathon dressed as a barrister","1 hr 44 min 58 sec",1,44,58,"1:44:58","half",6298,1.0370537015334
"https://www.guinnessworldrecords.com/world-records/94957-fastest-half-marathon-dressed-as-a-clown","Fastest half marathon dressed as a clown","1 hr 28 min 57 sec",1,28,57,"1:28:57","half",5337,0.950854152424455
"https://www.guinnessworldrecords.com/world-records/420859-fastest-half-marathon-dressed-as-an-elf-male","Fastest half marathon dressed as an elf (male)","1 hr 25 min 49 sec",1,25,49,"1:25:49","half",5149,1
"https://www.guinnessworldrecords.com/world-records/481370-fastest-half-marathon-dressed-as-a-zookeeper-female","Fastest half marathon dressed as a zookeeper (female)","2 hr 4 min 46.7 sec",2,4,46.7,"2:04:46.7","half",7486.7,1
"https://www.guinnessworldrecords.com/world-records/538720-fastest-half-marathon-dressed-as-a-videogame-character-female","Fastest half marathon dressed as a videogame character (female)","1 hr 35 min 56.2 sec",1,35,56.2,"1:35:56.2","half",5756.2,1
"https://www.guinnessworldrecords.com/world-records/103391-fastest-half-marathon-dressed-as-a-book-character","Fastest half marathon dressed as a book character","1 hr 19 min 18 sec",1,19,18,"1:19:18","half",4758,0.981006569665807
"https://www.guinnessworldrecords.com/world-records/fastest-half-marathon-dressed-as-a-doctor-(male)","Fastest half marathon dressed as a doctor (male)","1 hr 18 min 23 sec",1,18,23,"1:18:23","half",4703,1
"https://www.guinnessworldrecords.com/world-records/97799-fastest-half-marathon-dressed-as-a-cowboy","Fastest half marathon dressed as a rancher (male)","1 hr 36 min 32 sec",1,36,32,"1:36:32","half",5792,0.980420147500114
"https://www.guinnessworldrecords.com/world-records/fastest-half-marathon-dressed-as-a-bottle-(male)","Fastest half marathon dressed as a bottle (male)","1 hr, 28 min and 53 sec",1,28,53,"1:28:53","half",5333,1.03316068415323
"https://www.guinnessworldrecords.com/world-records/548472-fastest-half-marathon-dressed-as-a-cartoon-character-female","Fastest half marathon dressed as a cartoon character (female)","1 hr 53 min 26 sec",1,53,26,"1:53:26","half",6806,1.01491255136033
"https://www.guinnessworldrecords.com/world-records/482328-fastest-half-marathon-dressed-as-a-rubiks-cube-male","Fastest half marathon dressed as a Rubik's Cube (male)","1 hr 53 min 38 sec",1,53,38,"1:53:38","half",6818,0.986432326490369
"https://www.guinnessworldrecords.com/world-records/117781-fastest-half-marathon-dressed-as-a-chef","Fastest half marathon dressed as a chef (male)","1 hr 27 min 50 sec",1,27,50,"1:27:50","half",5270,1.01449247790965
"https://www.guinnessworldrecords.com/world-records/481882-fastest-half-marathon-dressed-as-a-gingerbread-man-female","Fastest half marathon dressed as a gingerbread person (female)","1 hr 43 min 49 sec",1,43,49,"1:43:49","half",6229,0.981288404428763
"https://www.guinnessworldrecords.com/world-records/606074-fastest-half-marathon-dressed-as-a-ninja-male","Fastest half marathon dressed as a ninja (male)","1 hr 54 min 3 sec",1,54,3,"1:54:03","half",6843,0.966636100141466
"https://www.guinnessworldrecords.com/world-records/107702-fastest-half-marathon-dressed-as-a-cartoon-character","Fastest half marathon dressed as a cartoon character (male)","1 hr 32 min 13 sec",1,32,13,"1:32:13","half",5533,1.01993632075267
"https://www.guinnessworldrecords.com/world-records/609223-fastest-half-marathon-dressed-as-a-car-male","Fastest half marathon dressed as a car (male)","2 hr 35 sec",2,0,35,"2:00:35","half",7235,1
"https://www.guinnessworldrecords.com/world-records/99763-fastest-half-marathon-dressed-as-a-nurse-female","Fastest half marathon dressed as a nurse (female)","1 hr 44 min 22 sec",1,44,22,"1:44:22","half",6262,0.961644826788487
