"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","outfit","last_update"
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-television-character-(male)","Fastest marathon dressed as a television character (male)","2 hr 49 min 51 sec",2,49,51,"2:49:51","full",10191,"television character (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/93991-fastest-marathon-dressed-as-a-television-character-female","Fastest marathon dressed as a television character (female)","3 hrs 54 min 58 sec",3,54,58,"3:54:58","full",14098,"television character (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-cartoon-character-(female)","Fastest marathon dressed as a cartoon character (female)","3 hrs 24 min 28 sec",3,24,28,"3:24:28","full",12268,"cartoon character (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/375738-fastest-marathon-dressed-as-a-landmark-male","Fastest marathon dressed as a landmark building (male)","3 hr 34 min 34 sec",3,34,34,"3:34:34","full",12874,"landmark building (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/513378-fastest-marathon-dressed-as-a-three-dimensional-plant-male","Fastest marathon dressed as a three dimensional plant (male)","4 hr 51 min 5 sec",4,51,5,"4:51:05","full",17465,"three dimensional plant (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/435649-fastest-marathon-dressed-as-a-mountain-climber-male","Fastest marathon dressed as a mountain climber (male)","4 hr 19 min 48 sec",4,19,48,"4:19:48","full",15588,"mountain climber (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/108460-fastest-marathon-dressed-as-a-mythical-creature-male","Fastest marathon dressed as a mythical creature (male)","3 hr 44 min 48 sec",3,44,48,"3:44:48","full",13488,"mythical creature (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/513158-fastest-marathon-dressed-as-a-badminton-player-male","Fastest marathon dressed as a badminton player (male)","3 hr 29 min 24 sec",3,29,24,"3:29:24","full",12564,"badminton player (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/482819-fastest-half-marathon-dressed-as-a-barrister","Fastest half marathon dressed as a barrister","1 hr 44 min 58 sec",1,44,58,"1:44:58","half",6298,"barrister",2020-09-06
"https://www.guinnessworldrecords.com/world-records/94957-fastest-half-marathon-dressed-as-a-clown","Fastest half marathon dressed as a clown","1 hr 28 min 57 sec",1,28,57,"1:28:57","half",5337,"clown",2020-09-06
"https://www.guinnessworldrecords.com/world-records/111991-fastest-marathon-in-a-baseball-uniform","Fastest marathon dressed in a baseball uniform (male)","2 hr 56 min 46 sec",2,56,46,"2:56:46","full",10606,"baseball uniform (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/508315-fastest-marathon-dressed-in-full-quidditch-kit-male","Fastest marathon dressed in full Quidditch kit (male)","4 hr 2 min 31 sec",4,2,31,"4:02:31","full",14551,"full Quidditch kit (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/410829-fastest-marathon-dressed-in-a-ghillie-suit-female","Fastest marathon dressed in a ghillie suit (female)","3 hr 59 min 13 sec",3,59,13,"3:59:13","full",14353,"ghillie suit (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-in-an-ice-hockey-kit-(male)","Fastest marathon dressed in an ice hockey kit (male)","4 hr 8 min 43 sec",4,8,43,"4:08:43","full",14923,"ice hockey kit (male)",2020-09-06
